res_id,type,cuisines 1,cuisines 2,cuisines 3,cuisines 4,cuisines 5,cuisines 6,cuisines 7,cuisines 8,city,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,photo_count,delivery,state
18815173,Food Truck,Chinese,Asian,,,,,,,Mumbai,19.09832668,72.82772306,600,2,3.4,21,16,0,Maharashtra
18572031,Food Truck,Chinese,Fast Food,,,,,,,Mumbai,19.13951981,72.82711387,600,2,2.7,18,21,0,Maharashtra
19047378,Food Truck,Italian,Fast Food,Beverages,,,,,,Mumbai,18.9491731,72.8234843,300,1,3.5,25,8,1,Maharashtra
18863196,Food Truck,Fast Food,,,,,,,,Mumbai,18.97305802,72.8142852,200,1,3.4,18,6,0,Maharashtra
18377217,Food Truck,American,Fast Food,Pizza,,,,,,Mumbai,19.11797798,72.90303178,300,1,3.4,17,15,0,Maharashtra
18546124,Food Truck,Mughlai,North Indian,,,,,,,Mumbai,19.16733226,72.95774717,400,1,3.3,15,16,0,Maharashtra
18771438,Food Truck,Italian,Fast Food,,,,,,,Mumbai,19.212182,72.840025,250,1,3.3,21,5,0,Maharashtra
18686875,Food Truck,Fast Food,,,,,,,,Mumbai,19.08274686,72.9140161,300,1,3.3,16,3,1,Maharashtra
18815180,Food Truck,American,Mexican,,,,,,,Mumbai,19.09832604,72.82771099,600,2,3.4,14,6,0,Maharashtra
18815182,Food Truck,Fast Food,,,,,,,,Mumbai,19.09831654,72.8276825,400,1,3.4,15,24,0,Maharashtra
18972422,Food Truck,Italian,Mexican,North Indian,,,,,,Mumbai,19.21264495,72.84257814,200,1,3.6,20,6,0,Maharashtra
18949823,Food Truck,Fast Food,,,,,,,,Mumbai,19.3437733,72.8066288,300,1,3,10,4,0,Maharashtra
18707035,Microbrewery,Burmese,Continental,North Indian,Finger Food,,,,,Mumbai,18.92416098,72.83322863,1500,3,4.1,1406,854,0,Maharashtra
18789669,Microbrewery,Burmese,Continental,North Indian,Finger Food,,,,,Mumbai,19.066044,72.833279,1800,3,4.1,719,457,0,Maharashtra
18742370,Microbrewery,Continental,North Indian,American,European,,,,,Mumbai,19.118186,72.911285,1800,3,4.4,577,1062,0,Maharashtra
